X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
616|L	88683000	8.812e+09	56421000	69409000	6860200000	355280000
618|L	NA	NA	NA	58459	NA	NA
619|L	9362900	NA	NA	NA	NA	NA
620|L	NA	17105000	NA	NA	259100000	5239600
621|L	3249200	5e+08	37987000	101710000	42455000	12242000
622|L	NA	5954700	NA	NA	22758000	NA
623|L	NA	5689200	NA	NA	12855000	NA
624|L	NA	9331400	NA	NA	2737300	NA
625|L	338080	10984000	NA	NA	29575000	NA
626|L	338080	6485100	NA	NA	22927000	NA
628|L	NA	18133000	NA	NA	NA	NA
629|L	120980000	4949100000	122450000	67805000	5819700000	655440000
630|L	3902200	241920000	NA	3891500	94208000	NA
631|L	493050	23845000	NA	404950	NA	NA
632|L	51976000	8093900000	6231800	38415000	6.255e+09	18747000
633|L	NA	837700	NA	NA	NA	NA
634|L	150970	63102000	4950600	2412200	42004000	NA
635|L	975840	152120000	1162000	NA	65165000	2750000
637|L	NA	NA	NA	637600	17042000	NA
638|L	NA	NA	NA	NA	4094000	NA
639|L	NA	NA	27752	39100	NA	624040
640|L	NA	26727000	34772	NA	17132000	451770
641|L	NA	1692700	7766700	263390	92146000	8665100
645|L	7869900	119320000	14364000	9155600	106970000	NA
646|L	1130400	12370000	281810	619190	15361000	202330
647|L	NA	NA	NA	2683.1	1841600	NA
648|L	3490600	53017000	2332000	5186700	78360000	1961900
649|L	205920	62642000	184880	NA	11023000	649190
650|L	70038000	3334800000	51537000	44889000	2646500000	332640000
654|L	NA	188860000	NA	NA	1164700000	404750
655|L	NA	188860000	NA	NA	1164700000	404750
656|L	NA	350800	NA	NA	NA	NA
661|L	NA	4664200	NA	NA	20393000	NA
662|L	NA	4664200	NA	NA	21385000	NA
